MM-DD-YYYY,HH:MM:SS.000,Temp,ADH11_Count,ALDHKI1_Count,ADH10_Count,ADH9_Count,WT14_Count,WT12_Count,WT13_Count,WT11_Count,WT10_Count,WT9_Count,ADH11_Start,ALDHKI1_Start,ADH10_Start,ADH9_Start,WT14_Start,WT12_Start,WT13_Start,WT11_Start,WT10_Start,WT9_Start,ADH11_Stop,ALDHKI1_Stop,ADH10_Stop,ADH9_Stop,WT14_Stop,WT12_Stop,WT13_Stop,WT11_Stop,WT10_Stop,WT9_Stop
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,83,38558,0,38559,38560,38560,0,0,38568,31989,43462,38582,0,38989,39041,39093,0,0,39152,32031,43516
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,84,38558,0,38559,38560,38560,0,0,38568,31989,43579,38582,0,38989,39041,39093,0,0,39152,32031,43622
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,85,38558,0,38559,38560,38560,0,0,38568,31989,43681,38582,0,38989,39041,39093,0,0,39152,32031,43735
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,86,38558,0,38559,38560,38560,0,0,38568,31989,43800,38582,0,38989,39041,39093,0,0,39152,32031,43854
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,87,38558,0,38559,38560,38560,0,0,38568,31989,43918,38582,0,38989,39041,39093,0,0,39152,32031,43960
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,88,38558,0,38559,38560,38560,0,0,38568,31989,44019,38582,0,38989,39041,39093,0,0,39152,32031,44067
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,89,38558,0,38559,38560,38560,0,0,38568,31989,44143,38582,0,38989,39041,39093,0,0,39152,32031,44168
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,90,38558,0,38559,38560,38560,0,0,38568,31989,44281,38582,0,38989,39041,39093,0,0,39152,32031,44305
7/18/2024,10:34:56 AM,25.25,1,0,2,1,29,0,0,9,3,91,38558,0,38559,38560,38560,0,0,38568,31989,44383,38582,0,38989,39041,39093,0,0,39152,32031,44414
7/18/2024,10:35:01 AM,25.25,1,0,2,1,29,0,0,9,3,92,38558,0,38559,38560,38560,0,0,38568,31989,49336,38582,0,38989,39041,39093,0,0,39152,32031,49354
