MM-DD-YYYY,HH:MM:SS.000,Temp,WT17_Count,ADH16_Count,WT16_Count,WT15_Count,ADH18_Count,ADH17_Count,ADH19_Count,WT17_Start,ADH16_Start,WT16_Start,WT15_Start,ADH18_Start,ADH17_Start,ADH19_Start,WT17_Stop,ADH16_Stop,WT16_Stop,WT15_Stop,ADH18_Stop,ADH17_Stop,ADH19_Stop
1/28/25,43:54.2,24,0,42,3,0,0,7,32,0,61105,49424,0,0,36955,38869,0,61141,49430,0,0,37003,38920
1/28/25,43:54.3,24,0,43,3,0,0,7,32,0,61201,49424,0,0,36955,38869,0,61237,49430,0,0,37003,38920
1/28/25,43:54.4,24,0,44,3,0,0,7,32,0,61314,49424,0,0,36955,38869,0,61326,49430,0,0,37003,38920
1/28/25,43:54.5,24,0,45,3,0,0,7,32,0,61388,49424,0,0,36955,38869,0,61418,49430,0,0,37003,38920
1/28/25,43:55.5,24,0,46,3,0,0,7,32,0,61484,49424,0,0,36955,38869,0,61514,49430,0,0,37003,38920
1/28/25,43:55.6,24,0,47,3,0,0,7,32,0,61577,49424,0,0,36955,38869,0,61614,49430,0,0,37003,38920
1/28/25,43:55.7,24,0,48,3,0,0,7,32,0,61678,49424,0,0,36955,38869,0,61714,49430,0,0,37003,38920
1/28/25,43:55.8,24,0,49,3,0,0,7,32,0,61772,49424,0,0,36955,38869,0,61808,49430,0,0,37003,38920
1/28/25,43:55.9,24,0,50,3,0,0,7,32,0,61869,49424,0,0,36955,38869,0,61906,49430,0,0,37003,38920
1/28/25,43:55.1,24,0,50,3,1,0,7,32,0,61869,49424,62076,0,36955,38869,0,61906,49430,62094,0,37003,38920
1/28/25,43:55.3,24,0,51,3,1,0,7,32,0,62187,49424,62076,0,36955,38869,0,62235,49430,62094,0,37003,38920
1/28/25,43:55.4,24,0,52,3,1,0,7,32,0,62294,49424,62076,0,36955,38869,0,62331,49430,62094,0,37003,38920
1/28/25,43:56.5,24,0,53,3,1,0,7,32,0,62400,49424,62076,0,36955,38869,0,62449,49430,62094,0,37003,38920
1/28/25,43:56.6,24,0,54,3,1,0,7,32,0,62508,49424,62076,0,36955,38869,0,62550,49430,62094,0,37003,38920
1/28/25,43:57.0,24,0,55,3,1,0,7,32,0,62921,49424,62076,0,36955,38869,0,62933,49430,62094,0,37003,38920
1/28/25,43:57.6,24,0,56,3,1,0,7,32,0,63473,49424,62076,0,36955,38869,0,63515,49430,62094,0,37003,38920
1/28/25,43:57.7,24,0,57,3,1,0,7,32,0,63593,49424,62076,0,36955,38869,0,63623,49430,62094,0,37003,38920
1/28/25,43:57.5,24,0,58,3,1,0,7,32,0,63919,49424,62076,0,36955,38869,0,63968,49430,62094,0,37003,38920
1/28/25,43:58.0,24,0,59,3,1,0,7,32,0,64027,49424,62076,0,36955,38869,0,64063,49430,62094,0,37003,38920
1/28/25,43:57.3,24,0,60,3,1,0,7,32,0,64211,49424,62076,0,36955,38869,0,64253,49430,62094,0,37003,38920
1/28/25,43:58.7,24,0,61,3,1,0,7,32,0,64627,49424,62076,0,36955,38869,0,64651,49430,62094,0,37003,38920
1/28/25,43:58.9,24,1,61,3,1,0,7,32,64781,64627,49424,62076,0,36955,38869,64865,64651,49430,62094,0,37003,38920
1/28/25,43:58.4,24,2,61,3,1,0,7,32,64921,64627,49424,62076,0,36955,38869,65373,64651,49430,62094,0,37003,38920
1/28/25,44:01.7,24,2,61,4,1,0,7,32,64921,64627,67659,62076,0,36955,38869,65373,64651,67708,62094,0,37003,38920
1/28/25,44:01.9,24,2,61,5,1,0,7,32,64921,64627,67811,62076,0,36955,38869,65373,64651,67841,62094,0,37003,38920
1/28/25,44:04.2,24,2,61,6,1,0,7,32,64921,64627,71124,62076,0,36955,38869,65373,64651,71160,62094,0,37003,38920
1/28/25,44:04.3,24,2,61,7,1,0,7,32,64921,64627,71213,62076,0,36955,38869,65373,64651,71231,62094,0,37003,38920
1/28/25,44:04.4,24,2,61,8,1,0,7,32,64921,64627,71292,62076,0,36955,38869,65373,64651,71316,62094,0,37003,38920
1/28/25,44:04.5,24,2,61,9,1,0,7,32,64921,64627,71394,62076,0,36955,38869,65373,64651,71418,62094,0,37003,38920
1/28/25,44:05.2,24,2,61,10,1,0,7,32,71653,64627,72101,62076,0,36955,38869,65373,64651,72155,62094,0,37003,38920
1/28/25,44:05.3,24,3,61,10,1,0,7,32,71653,64627,72231,62076,0,36955,38869,72260,64651,72155,62094,0,37003,38920
1/28/25,44:05.3,24,3,61,11,1,0,7,32,71653,64627,72231,62076,0,36955,38869,72260,64651,72315,62094,0,37003,38920
1/28/25,44:09.1,24,3,61,11,1,0,8,32,71653,64627,72231,62076,0,75935,38869,72260,64651,72315,62094,0,75977,38920
1/28/25,44:10.5,24,4,61,11,1,0,8,32,76044,64627,72231,62076,0,75935,38869,76508,64651,72315,62094,0,75977,38920
1/28/25,44:11.2,24,4,61,11,1,0,9,32,76044,64627,72231,62076,0,78152,38869,76508,64651,72315,62094,0,78200,38920
1/28/25,44:11.4,24,4,61,11,1,0,9,33,76044,64627,72231,62076,0,78152,78343,76508,64651,72315,62094,0,78200,78367
